CHECK SHEET NO,생산일자,공장,공정코드,신규분류요약,함수율,품목코드,품명,양품수량,불량수량,샘플수량,생산수량,샘플창고수량,샘플제외 양품수량,멸균번호,기계코드,상태,SIZE
A20260108-389,2026-01-12,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"2,210",5,0,"2,215",0,"2,210",OG94,누수/규격검사(2공장),확인,14.2
A20260108-397,2026-01-12,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"2,260",0,0,"2,260",0,"2,260",OG94,누수/규격검사(2공장),확인,14.2
A20260202-386,2026-02-04,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"2,800",125,5,"2,930",0,"2,800",OG95,검사47호기,확인,14.2
A20260202-386,2026-02-04,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"2,800",0,0,"2,800",0,"2,800",OG95,누수/규격검사(2공장),확인,14.2
A20260202-386,2026-02-04,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"2,930",0,0,"2,930",0,"2,930",,워터배스2-2호기,확인,14.2
A20260108-397,2026-01-12,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"2,260",105,5,"2,370",0,"2,260",OG94,검사45호기,확인,14.2
A20260108-389,2026-01-10,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"2,255",4,0,"2,259",0,"2,255",,워터배스2-2호기,확인,14.2
A20260108-389,2026-01-11,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"2,215",35,5,"2,255",0,"2,215",OG94,검사47호기,확인,14.2
A20251218-190,2026-01-10,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"1,840",5,0,"1,845",0,"1,840",OG93,누수/규격검사(2공장),확인,14.2
A20251218-190,2026-01-09,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"1,845",100,5,"1,950",0,"1,845",OG93,검사47호기,확인,14.2
A20260108-397,2026-01-11,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"2,370",4,0,"2,374",0,"2,370",,워터배스2-2호기,확인,14.2
A20251218-190,2026-01-09,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"1,950",1,0,"1,951",0,"1,950",,워터배스2-2호기,확인,14.2
A20260202-384,2026-02-04,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-02.00,1-DAY_58_공용_MD로고,"2,655",30,0,"2,685",0,"2,655",OG95,누수/규격검사(2공장),확인,14.2
A20260202-384,2026-02-04,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-02.00,1-DAY_58_공용_MD로고,"2,795",5,0,"2,800",0,"2,795",,워터배스2-2호기,확인,14.2
A20260202-384,2026-02-04,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.00,1-DAY_58_공용_MD로고,"2,685",105,5,"2,795",0,"2,685",OG95,검사47호기,확인,14.2
A20260109-150,2026-01-10,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-02.00,1-DAY_58_공용_MD로고,"2,475",3,0,"2,478",0,"2,475",,워터배스2-12호기,확인,14.2
A20260109-150,2026-01-10,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.00,1-DAY_58_공용_MD로고,"2,430",40,5,"2,475",0,"2,430",OG93,검사47호기,확인,14.2
A20260107-261,2026-01-10,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-02.00,1-DAY_58_공용_MD로고,"2,590",0,0,"2,590",0,"2,590",OG93,누수/규격검사(2공장),확인,14.2
A20260107-261,2026-01-09,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.00,1-DAY_58_공용_MD로고,"2,590",125,5,"2,720",0,"2,590",OG93,검사47호기,확인,14.2
A20260107-261,2026-01-09,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-02.00,1-DAY_58_공용_MD로고,"2,720",1,0,"2,721",0,"2,720",,워터배스2-2호기,확인,14.2
A20260109-150,2026-01-11,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-02.00,1-DAY_58_공용_MD로고,"2,430",0,0,"2,430",0,"2,430",OG93,누수/규격검사(2공장),확인,14.2
A20260106-468,2026-01-09,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"2,340",20,0,"2,360",0,"2,340",OG93,누수/규격검사(2공장),확인,14.2
A20260108-484,2026-01-11,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"2,225",30,5,"2,260",0,"2,225",OG93,검사47호기,확인,14.2
A20260106-104,2026-01-09,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"1,865",25,,"1,890",0,"1,865",OG93,검사47호기,확인,14.2
A20260106-468,2026-01-08,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"2,360",25,5,"2,390",0,"2,360",OG93,검사41호기,확인,14.2
A20260106-104,2026-01-08,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"1,890",3,0,"1,893",0,"1,890",,워터배스2-12호기,확인,14.2
A20260108-484,2026-01-10,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"2,260",4,0,"2,264",0,"2,260",,워터배스2-12호기,확인,14.2
A20260106-468,2026-01-08,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"2,390",4,0,"2,394",0,"2,390",,워터배스2-2호기,확인,14.2
A20260108-480,2026-01-10,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"2,030",0,0,"2,030",0,"2,030",OG93,누수/규격검사(2공장),확인,14.2
A20260108-480,2026-01-09,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"2,095",1,0,"2,096",0,"2,095",,워터배스2-12호기,확인,14.2
A20260108-480,2026-01-10,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"2,030",60,5,"2,095",0,"2,030",OG93,검사43호기,확인,14.2
A20260106-104,2026-01-09,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"1,865",0,0,"1,865",0,"1,865",OG93,누수/규격검사(2공장),확인,14.2
A20260108-484,2026-01-11,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-02.50,1-DAY_58_공용_MD로고,"2,225",0,0,"2,225",0,"2,225",OG93,누수/규격검사(2공장),확인,14.2
A20260110-144,2026-01-12,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"2,450",0,0,"2,450",0,"2,450",OG94,누수/규격검사(2공장),확인,14.2
A20260110-138,2026-01-12,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"2,200",10,0,"2,210",0,"2,200",OG94,누수/규격검사(2공장),확인,14.2
A20251208-521,2026-01-12,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"2,170",0,0,"2,170",0,"2,170",OG94,누수/규격검사(2공장),확인,14.2
A20251208-521,2026-01-12,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"2,170",30,5,"2,205",0,"2,170",OG94,검사45호기,확인,14.2
A20260108-478,2026-01-10,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"1,845",25,5,"1,875",0,"1,845",OG93,검사47호기,확인,14.2
A20251208-521,2026-01-12,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"2,205",4,0,"2,209",0,"2,205",,워터배스2-12호기,확인,14.2
A20260108-478,2026-01-10,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"1,875",4,0,"1,879",0,"1,875",,워터배스2-12호기,확인,14.2
A20260110-138,2026-01-11,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"2,210",35,5,"2,250",0,"2,210",OG94,검사47호기,확인,14.2
A20260110-144,2026-01-11,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"2,450",45,5,"2,500",0,"2,450",OG94,검사45호기,확인,14.2
A20260110-144,2026-01-11,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"2,500",2,0,"2,502",0,"2,500",,워터배스2-2호기,확인,14.2
A20260110-138,2026-01-11,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"2,250",5,0,"2,255",0,"2,250",,워터배스2-12호기,확인,14.2
A20260108-478,2026-01-11,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-02.75,1-DAY_58_공용_MD로고,"1,845",0,0,"1,845",0,"1,845",OG93,누수/규격검사(2공장),확인,14.2
A20260111-442,2026-01-14,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,335",0,0,"2,335",0,"2,335",OG94,누수/규격검사(2공장),확인,14.2
A20260111-296,2026-01-13,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,590",20,,"2,610",0,"2,590",OG94,검사47호기,확인,14.2
A20251211-337,2026-01-12,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,435",145,,"2,580",0,"2,435",OG94,검사47호기,확인,14.2
A20260111-296,2026-01-12,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,610",1,0,"2,611",0,"2,610",,워터배스2-2호기,확인,14.2
A20251211-337,2026-01-12,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,435",0,0,"2,435",0,"2,435",OG94,누수/규격검사(2공장),확인,14.2
A20260111-130,2026-01-12,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,720",5,0,"2,725",0,"2,720",,워터배스2-12호기,확인,14.2
A20260111-442,2026-01-14,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,335",55,5,"2,395",0,"2,335",OG94,검사41호기,확인,14.2
A20251211-337,2026-01-12,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,580",3,0,"2,583",0,"2,580",,워터배스2-2호기,확인,14.2
A20260111-130,2026-01-13,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,655",60,5,"2,720",0,"2,655",OG94,검사45호기,확인,14.2
A20260111-130,2026-01-13,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,640",15,0,"2,655",0,"2,640",OG94,누수/규격검사(2공장),확인,14.2
A20260111-442,2026-01-13,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,395",4,0,"2,399",0,"2,395",,워터배스2-2호기,확인,14.2
A20260111-296,2026-01-13,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-03.75,1-DAY_58_공용_MD로고,"2,585",5,0,"2,590",0,"2,585",OG94,누수/규격검사(2공장),확인,14.2
A20250415-474-L8,2026-02-01,A관(1공장),[45] 하이드레이션/전면검사,FRP_Color_Sph,43,P0253M-06.00MWB3,Chuulens M_Mellow Hazel_After Glow_(중),78,27,0,105,0,78,,워터배스1-2호기,확인,14.2
s20251124-374,2026-01-15,S관(3공장),[55] 접착/ 멸균,Si_1-Day_Sph,45,P0510A-02.00,O2O2 D_UV_Spherical_FGC,"1,270",23,,"1,293",0,"1,270",OG94,A형 인라인5호기,확인,14.2
S20251102-281,2026-02-05,S관(3공장),[80] 누수/규격검사,Si_1-Day_Sph,45,P0510A-02.00,O2O2 D_UV_Spherical_FGC,290,0,0,290,0,290,OG95,누수/규격검사(3공장),확인,14.2
S20251102-281,2026-02-04,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Sph,45,P0510A-02.00,O2O2 D_UV_Spherical_FGC,300,0,0,300,0,300,,S관 실리콘 자동수화기,확인,14.2
S20251102-281,2026-02-05,S관(3공장),[55] 접착/ 멸균,Si_1-Day_Sph,45,P0510A-02.00,O2O2 D_UV_Spherical_FGC,290,10,,300,0,290,OG95,A형 인라인1호기,확인,14.2
S20251124-374,2026-01-12,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Sph,45,P0510A-02.00,O2O2 D_UV_Spherical_FGC,"1,293",0,0,"1,293",0,"1,293",,S관 실리콘 자동수화기,확인,14.2
S20251124-374,2026-01-15,S관(3공장),[80] 누수/규격검사,Si_1-Day_Sph,45,P0510A-02.00,O2O2 D_UV_Spherical_FGC,"1,250",20,0,"1,270",0,"1,250",OG94,누수/규격검사(3공장),확인,14.2
s20251205-151,2026-01-15,S관(3공장),[55] 접착/ 멸균,Si_1-Day_Sph,45,P0510A-03.25,O2O2 D_UV_Spherical_FGC,"1,620",33,,"1,653",0,"1,620",OG94,A형 인라인3호기,확인,14.2
S20251205-151,2026-01-15,S관(3공장),[80] 누수/규격검사,Si_1-Day_Sph,45,P0510A-03.25,O2O2 D_UV_Spherical_FGC,"1,605",15,0,"1,620",0,"1,605",OG94,누수/규격검사(3공장),확인,14.2
S20260131-095,2026-02-02,S관(3공장),[80] 누수/규격검사,Si_1-Day_Sph,45,P0510A-03.25,O2O2 D_UV_Spherical_FGC,"2,285",5,0,"2,290",0,"2,285",OG95,누수/규격검사(3공장),확인,14.2
S20260131-095,2026-02-02,S관(3공장),[55] 접착/ 멸균,Si_1-Day_Sph,45,P0510A-03.25,O2O2 D_UV_Spherical_FGC,"2,290",172,5,"2,467",0,"2,290",OG95,A형 인라인4호기,확인,14.2
S20260131-095,2026-02-01,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Sph,45,P0510A-03.25,O2O2 D_UV_Spherical_FGC,"2,467",8,0,"2,475",0,"2,467",,S관 실리콘 자동수화기,확인,14.2
S20251205-151,2026-01-14,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Sph,45,P0510A-03.25,O2O2 D_UV_Spherical_FGC,"1,653",1,0,"1,654",0,"1,653",,S관 실리콘 자동수화기,확인,14.2
S20260124-028,2026-01-31,S관(3공장),[55] 접착/ 멸균,Si_1-Day_Sph,45,P0510A-03.75,O2O2 D_UV_Spherical_FGC,"1,330",24,,"1,354",0,"1,330",OG95,A형 인라인6호기,확인,14.2
S20260201-266,2026-02-02,S관(3공장),[55] 접착/ 멸균,Si_1-Day_Sph,45,P0510A-03.75,O2O2 D_UV_Spherical_FGC,"2,675",15,,"2,690",0,"2,675",OG95,A형 인라인4호기,확인,14.2
S20260201-266,2026-02-03,S관(3공장),[80] 누수/규격검사,Si_1-Day_Sph,45,P0510A-03.75,O2O2 D_UV_Spherical_FGC,"2,675",0,0,"2,675",0,"2,675",OG95,누수/규격검사(3공장),확인,14.2
S20260201-270,2026-02-03,S관(3공장),[80] 누수/규격검사,Si_1-Day_Sph,45,P0510A-03.75,O2O2 D_UV_Spherical_FGC,"2,675",5,0,"2,680",0,"2,675",OG95,누수/규격검사(3공장),확인,14.2
S20260201-270,2026-02-02,S관(3공장),[55] 접착/ 멸균,Si_1-Day_Sph,45,P0510A-03.75,O2O2 D_UV_Spherical_FGC,"2,680",62,,"2,742",0,"2,680",OG95,A형 인라인4호기,확인,14.2
S20260124-028,2026-01-31,S관(3공장),[80] 누수/규격검사,Si_1-Day_Sph,45,P0510A-03.75,O2O2 D_UV_Spherical_FGC,"1,330",0,0,"1,330",0,"1,330",OG95,누수/규격검사(3공장),확인,14.2
S20260124-028,2026-01-29,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Sph,45,P0510A-03.75,O2O2 D_UV_Spherical_FGC,"1,354",1,0,"1,355",0,"1,354",,S관 실리콘 자동수화기,확인,14.2
S20260201-270,2026-02-02,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Sph,45,P0510A-03.75,O2O2 D_UV_Spherical_FGC,"2,742",11,0,"2,753",0,"2,742",,S관 실리콘 자동수화기,확인,14.2
S20260201-266,2026-02-02,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Sph,45,P0510A-03.75,O2O2 D_UV_Spherical_FGC,"2,690",59,0,"2,749",0,"2,690",,S관 실리콘 자동수화기,확인,14.2
s20251125-022,2026-01-15,S관(3공장),[55] 접착/ 멸균,Si_1-Day_Sph,45,P0510A-05.75,O2O2 D_UV_Spherical_FGC,"2,410",49,,"2,459",0,"2,410",OG94,A형 인라인3호기,확인,14.2
S20251125-022,2026-01-15,S관(3공장),[80] 누수/규격검사,Si_1-Day_Sph,45,P0510A-05.75,O2O2 D_UV_Spherical_FGC,"2,400",10,0,"2,410",0,"2,400",OG94,누수/규격검사(3공장),확인,14.2
S20251125-022,2026-01-14,S관(3공장),[45] 하이드레이션/전면검사,Si_1-Day_Sph,45,P0510A-05.75,O2O2 D_UV_Spherical_FGC,"2,459",5,0,"2,464",0,"2,459",,S관 실리콘 자동수화기,확인,14.2
C20251218-008,2026-01-05,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P0514A-02.00BLJ,PIA D_Blueberry Jam_55% UV,"2,815",2,0,"2,817",0,"2,815",,워터배스2-7호기,확인,14.2
C20251218-008,2026-01-05,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P0514A-02.00BLJ,PIA D_Blueberry Jam_55% UV,"2,785",5,0,"2,790",0,"2,785",OG93,누수/규격검사(2공장),확인,14.2
C20251218-008,2026-01-05,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P0514A-02.00BLJ,PIA D_Blueberry Jam_55% UV,"2,790",20,5,"2,815",0,"2,790",OG93,검사38호기,확인,14.2
C20260111-091,2026-01-13,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P0519A-02.25OLT,PIA D_Oolong Tea_55% UV,"2,660",85,5,"2,750",0,"2,660",OG94,검사46호기,확인,14.2
A20260106-501,2026-01-08,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"1,915",1,0,"1,916",0,"1,915",,워터배스2-12호기,확인,14.2
A20260106-501,2026-01-09,C관(2공장),[80] 누수/규격검사,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"1,790",70,0,"1,860",0,"1,790",OG93,누수/규격검사(2공장),확인,14.2
A20260106-501,2026-01-09,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-01.75,1-DAY_58_공용_MD로고,"1,860",50,5,"1,915",0,"1,860",OG93,검사41호기,확인,14.2
A20260106-140,2026-01-09,C관(2공장),[55] 접착/ 멸균,1-Day_Sph,58,P0247A-02.00,1-DAY_58_공용_MD로고,"2,310",100,5,"2,415",0,"2,310",OG93,검사43호기,확인,14.2
