기간,공장,공정코드,기계코드,총_생산수량,총_양품수량,전체_수율(%),운영일수,이론상_총_생산량,가동률(%)
2024-01-02,A관(1공장),[10] 사출조립,조립1호기,20000.0,16600.0,83.0,1,43200.0,46.3
2024-01-02,A관(1공장),[10] 사출조립,조립2호기,4760.0,2360.0,49.58,1,43200.0,11.02
2024-01-02,A관(1공장),[10] 사출조립,조립31호기,57000.0,57000.0,100.0,1,86400.0,65.97
2024-01-02,A관(1공장),[10] 사출조립,조립32호기,32000.0,32000.0,100.0,1,86400.0,37.04
2024-01-02,A관(1공장),[10] 사출조립,조립3호기,4430.0,2750.0,62.08,1,43200.0,10.25
2024-01-02,A관(1공장),[10] 사출조립,조립5호기,3950.0,2450.0,62.03,1,43200.0,9.14
2024-01-02,A관(1공장),[10] 사출조립,조립8호기,16000.0,13300.0,83.12,1,43200.0,37.04
2024-01-02,A관(1공장),[20] 분리,분리10호기,9100.0,6628.0,72.84,1,17280.0,52.66
2024-01-02,A관(1공장),[20] 분리,분리11호기,8610.0,3643.0,42.31,1,17280.0,49.83
2024-01-02,A관(1공장),[20] 분리,분리3호기,15070.0,9396.0,62.35,1,17280.0,87.21
2024-01-02,A관(1공장),[20] 분리,분리41호기(초음파),15810.0,11621.0,73.5,1,62837.0,25.16
2024-01-02,A관(1공장),[20] 분리,분리42호기(초음파),32950.0,23619.0,71.68,1,62837.0,52.44
2024-01-02,A관(1공장),[20] 분리,분리4호기,2590.0,1325.0,51.16,1,17280.0,14.99
2024-01-02,A관(1공장),[20] 분리,분리5호기,5960.0,3890.0,65.27,1,17280.0,34.49
2024-01-02,A관(1공장),[45] 하이드레이션/전면검사,1공장 실리콘수화기,17704.0,17704.0,100.0,1,0.0,0.0
2024-01-02,A관(1공장),[45] 하이드레이션/전면검사,워터배스1-2호기,17678.0,17678.0,100.0,1,30000.0,58.93
2024-01-02,A관(1공장),[45] 하이드레이션/전면검사,워터배스1-4호기,16156.0,16156.0,100.0,1,30000.0,53.85
2024-01-02,A관(1공장),[45] 하이드레이션/전면검사,워터배스1-5호기,19871.0,19871.0,100.0,1,150000.0,13.25
2024-01-02,A관(1공장),[55] 접착/ 멸균,검사10호기,4005.0,3377.0,84.32,1,13293.0,30.13
2024-01-02,A관(1공장),[55] 접착/ 멸균,검사11호기,7254.0,6955.0,95.88,1,13293.0,54.57
2024-01-02,A관(1공장),[55] 접착/ 멸균,검사14호기,4825.0,4052.0,83.98,1,13293.0,36.3
2024-01-02,A관(1공장),[55] 접착/ 멸균,검사17호기,11276.0,10580.0,93.83,1,13293.0,84.83
2024-01-02,A관(1공장),[55] 접착/ 멸균,검사18호기,13143.0,11768.0,89.54,1,13293.0,98.87
2024-01-02,A관(1공장),[55] 접착/ 멸균,검사19호기,2500.0,2190.0,87.6,1,13293.0,18.81
2024-01-02,A관(1공장),[55] 접착/ 멸균,검사22호기,12712.0,11886.0,93.5,1,13293.0,95.63
2024-01-02,A관(1공장),[55] 접착/ 멸균,검사23호기,8425.0,7972.0,94.62,1,13293.0,63.38
2024-01-02,A관(1공장),[55] 접착/ 멸균,검사7호기,7513.0,7452.0,99.19,1,13293.0,56.52
2024-01-02,A관(1공장),[80] 누수/규격검사,누수/규격검사(1공장),75205.0,73937.0,98.31,1,112902.0,66.61
2024-01-02,C관(2공장),[10] 사출조립,조립10호기,38652.0,29655.0,76.72,1,43200.0,89.47
2024-01-02,C관(2공장),[10] 사출조립,조립11호기,57029.0,47646.0,83.55,1,43200.0,132.01
2024-01-02,C관(2공장),[10] 사출조립,조립13호기,71727.0,65759.0,91.68,1,0.0,0.0
2024-01-02,C관(2공장),[10] 사출조립,조립14호기,40346.0,35110.0,87.02,1,43200.0,93.39
2024-01-02,C관(2공장),[10] 사출조립,조립16호기,49324.0,42137.0,85.43,1,43200.0,114.18
2024-01-02,C관(2공장),[10] 사출조립,조립17호기,52695.0,39431.0,74.83,1,43200.0,121.98
2024-01-02,C관(2공장),[10] 사출조립,조립18호기,28167.0,24856.0,88.25,1,43200.0,65.2
2024-01-02,C관(2공장),[10] 사출조립,조립20호기,46481.0,37077.0,79.77,1,43200.0,107.59
2024-01-02,C관(2공장),[10] 사출조립,조립22호기,32243.0,30148.0,93.5,1,43200.0,74.64
2024-01-02,C관(2공장),[10] 사출조립,조립23호기,57590.0,51418.0,89.28,1,43200.0,133.31
2024-01-02,C관(2공장),[10] 사출조립,조립24호기,40179.0,36029.0,89.67,1,43200.0,93.01
2024-01-02,C관(2공장),[10] 사출조립,조립25호기,38945.0,35920.0,92.23,1,43200.0,90.15
2024-01-02,C관(2공장),[10] 사출조립,조립26호기,43373.0,35461.0,81.76,1,43200.0,100.4
2024-01-02,C관(2공장),[10] 사출조립,조립27호기,46976.0,45611.0,97.09,1,43200.0,108.74
2024-01-02,C관(2공장),[10] 사출조립,조립40호기,37333.0,36216.0,97.01,1,43200.0,86.42
2024-01-02,C관(2공장),[10] 사출조립,조립41호기,51791.0,50613.0,97.73,1,43200.0,119.89
2024-01-02,C관(2공장),[10] 사출조립,조립42호기,105326.0,99529.0,94.5,1,43200.0,243.81
2024-01-02,C관(2공장),[10] 사출조립,조립43호기,47966.0,44675.0,93.14,1,43200.0,111.03
2024-01-02,C관(2공장),[10] 사출조립,조립44호기,45595.0,38037.0,83.42,1,43200.0,105.54
