기간,공장,공정코드,총_양품수량,총_생산수량,목표_총_생산량,양품수_기준_달성률(%),일일_목표량,운영일수
2026-01-03,A관(1공장),[45] 하이드레이션/전면검사,34018.0,34018.0,142945.0,23.8,142945.0,1
2026-01-05,A관(1공장),[10] 사출조립,125883.0,127390.0,238081.0,52.87,238081.0,1
2026-01-05,A관(1공장),[20] 분리,3961.0,4567.0,238081.0,1.66,238081.0,1
2026-01-05,A관(1공장),[45] 하이드레이션/전면검사,126924.0,126924.0,142945.0,88.79,142945.0,1
2026-01-05,A관(1공장),[80] 누수/규격검사,31014.0,33213.0,136193.0,22.77,136193.0,1
2026-01-05,C관(2공장),[10] 사출조립,614363.0,667062.0,953240.0,64.45,953240.0,1
2026-01-05,C관(2공장),[20] 분리,829233.0,980041.0,953240.0,86.99,953240.0,1
2026-01-05,C관(2공장),[45] 하이드레이션/전면검사,912665.0,913762.0,835511.0,109.23,835511.0,1
2026-01-05,C관(2공장),[80] 누수/규격검사,444005.0,445855.0,782840.0,56.72,782840.0,1
2026-01-05,S관(3공장),[10] 사출조립,51834.0,57769.0,307202.0,16.87,307202.0,1
2026-01-05,S관(3공장),[20] 분리,29735.0,40827.0,307202.0,9.68,307202.0,1
2026-01-05,S관(3공장),[45] 하이드레이션/전면검사,82472.0,82636.0,195075.0,42.28,195075.0,1
2026-01-05,S관(3공장),[80] 누수/규격검사,23895.0,23920.0,168152.0,14.21,168152.0,1
2026-01-06,A관(1공장),[10] 사출조립,208407.0,215040.0,238081.0,87.54,238081.0,1
2026-01-06,A관(1공장),[20] 분리,35948.0,42722.0,238081.0,15.1,238081.0,1
2026-01-06,A관(1공장),[45] 하이드레이션/전면검사,107562.0,107562.0,142945.0,75.25,142945.0,1
2026-01-06,A관(1공장),[80] 누수/규격검사,47033.0,50093.0,136193.0,34.53,136193.0,1
2026-01-06,C관(2공장),[10] 사출조립,791121.0,847938.0,953240.0,82.99,953240.0,1
2026-01-06,C관(2공장),[20] 분리,894510.0,1101229.0,953240.0,93.84,953240.0,1
2026-01-06,C관(2공장),[45] 하이드레이션/전면검사,821339.0,822337.0,835511.0,98.3,835511.0,1
2026-01-06,C관(2공장),[80] 누수/규격검사,675205.0,677955.0,782840.0,86.25,782840.0,1
2026-01-06,S관(3공장),[10] 사출조립,112862.0,133704.0,307202.0,36.74,307202.0,1
2026-01-06,S관(3공장),[20] 분리,79163.0,107701.0,307202.0,25.77,307202.0,1
2026-01-06,S관(3공장),[45] 하이드레이션/전면검사,170751.0,171346.0,195075.0,87.53,195075.0,1
2026-01-06,S관(3공장),[80] 누수/규격검사,75320.0,75570.0,168152.0,44.79,168152.0,1
2026-01-07,A관(1공장),[10] 사출조립,279272.0,281753.0,238081.0,117.3,238081.0,1
2026-01-07,A관(1공장),[20] 분리,47671.0,58230.0,238081.0,20.02,238081.0,1
2026-01-07,A관(1공장),[45] 하이드레이션/전면검사,100842.0,100842.0,142945.0,70.55,142945.0,1
2026-01-07,A관(1공장),[80] 누수/규격검사,50685.0,53895.0,136193.0,37.22,136193.0,1
2026-01-07,C관(2공장),[10] 사출조립,789820.0,846190.0,953240.0,82.86,953240.0,1
2026-01-07,C관(2공장),[20] 분리,912876.0,1104317.0,953240.0,95.77,953240.0,1
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,863610.0,864528.0,835511.0,103.36,835511.0,1
2026-01-07,C관(2공장),[80] 누수/규격검사,722370.0,729810.0,782840.0,92.28,782840.0,1
2026-01-07,S관(3공장),[10] 사출조립,166933.0,188615.0,307202.0,54.34,307202.0,1
2026-01-07,S관(3공장),[20] 분리,91735.0,122381.0,307202.0,29.86,307202.0,1
2026-01-07,S관(3공장),[45] 하이드레이션/전면검사,137539.0,138061.0,195075.0,70.51,195075.0,1
2026-01-07,S관(3공장),[80] 누수/규격검사,158800.0,159105.0,168152.0,94.44,168152.0,1
2026-01-08,A관(1공장),[10] 사출조립,277789.0,280461.0,238081.0,116.68,238081.0,1
2026-01-08,A관(1공장),[20] 분리,58563.0,68236.0,238081.0,24.6,238081.0,1
2026-01-08,A관(1공장),[45] 하이드레이션/전면검사,86226.0,86333.0,142945.0,60.32,142945.0,1
2026-01-08,A관(1공장),[80] 누수/규격검사,62354.0,65421.0,136193.0,45.78,136193.0,1
2026-01-08,C관(2공장),[10] 사출조립,839176.0,934852.0,953240.0,88.03,953240.0,1
2026-01-08,C관(2공장),[20] 분리,889633.0,1094449.0,953240.0,93.33,953240.0,1
2026-01-08,C관(2공장),[45] 하이드레이션/전면검사,834865.0,835829.0,835511.0,99.92,835511.0,1
2026-01-08,C관(2공장),[80] 누수/규격검사,722100.0,730215.0,782840.0,92.24,782840.0,1
2026-01-08,S관(3공장),[10] 사출조립,153449.0,169065.0,307202.0,49.95,307202.0,1
2026-01-08,S관(3공장),[20] 분리,98767.0,131097.0,307202.0,32.15,307202.0,1
2026-01-08,S관(3공장),[45] 하이드레이션/전면검사,140716.0,141360.0,195075.0,72.13,195075.0,1
2026-01-08,S관(3공장),[80] 누수/규격검사,100665.0,101150.0,168152.0,59.87,168152.0,1
2026-01-09,A관(1공장),[10] 사출조립,257172.0,263776.0,238081.0,108.02,238081.0,1
2026-01-09,A관(1공장),[20] 분리,60769.0,70324.0,238081.0,25.52,238081.0,1
2026-01-09,A관(1공장),[45] 하이드레이션/전면검사,54487.0,54487.0,142945.0,38.12,142945.0,1
2026-01-09,A관(1공장),[80] 누수/규격검사,59685.0,62482.0,136193.0,43.82,136193.0,1
2026-01-09,C관(2공장),[10] 사출조립,642386.0,689188.0,953240.0,67.39,953240.0,1
2026-01-09,C관(2공장),[20] 분리,862778.0,1049721.0,953240.0,90.51,953240.0,1
2026-01-09,C관(2공장),[45] 하이드레이션/전면검사,763651.0,764562.0,835511.0,91.4,835511.0,1
2026-01-09,C관(2공장),[80] 누수/규격검사,656615.0,665165.0,782840.0,83.88,782840.0,1
2026-01-09,S관(3공장),[10] 사출조립,69319.0,76476.0,307202.0,22.56,307202.0,1
2026-01-09,S관(3공장),[20] 분리,71521.0,92948.0,307202.0,23.28,307202.0,1
2026-01-09,S관(3공장),[45] 하이드레이션/전면검사,183005.0,183604.0,195075.0,93.81,195075.0,1
2026-01-09,S관(3공장),[80] 누수/규격검사,134745.0,135140.0,168152.0,80.13,168152.0,1
2026-01-10,A관(1공장),[10] 사출조립,359641.0,369686.0,238081.0,151.06,238081.0,1
2026-01-10,A관(1공장),[20] 분리,60007.0,70685.0,238081.0,25.2,238081.0,1
2026-01-10,A관(1공장),[45] 하이드레이션/전면검사,42656.0,43613.0,142945.0,29.84,142945.0,1
2026-01-10,A관(1공장),[80] 누수/규격검사,47180.0,50203.0,136193.0,34.64,136193.0,1
2026-01-10,C관(2공장),[10] 사출조립,689770.0,748794.0,953240.0,72.36,953240.0,1
2026-01-10,C관(2공장),[20] 분리,932288.0,1115003.0,953240.0,97.8,953240.0,1
2026-01-10,C관(2공장),[45] 하이드레이션/전면검사,909676.0,911581.0,835511.0,108.88,835511.0,1
2026-01-10,C관(2공장),[80] 누수/규격검사,884803.0,890674.0,782840.0,113.02,782840.0,1
2026-01-10,S관(3공장),[10] 사출조립,97139.0,118165.0,307202.0,31.62,307202.0,1
2026-01-10,S관(3공장),[20] 분리,90544.0,113299.0,307202.0,29.47,307202.0,1
2026-01-10,S관(3공장),[45] 하이드레이션/전면검사,143140.0,143509.0,195075.0,73.38,195075.0,1
2026-01-10,S관(3공장),[80] 누수/규격검사,153025.0,153980.0,168152.0,91.0,168152.0,1
2026-01-11,A관(1공장),[10] 사출조립,316312.0,331333.0,238081.0,132.86,238081.0,1
2026-01-11,A관(1공장),[20] 분리,46400.0,57017.0,238081.0,19.49,238081.0,1
2026-01-11,A관(1공장),[45] 하이드레이션/전면검사,89774.0,90551.0,142945.0,62.8,142945.0,1
2026-01-11,A관(1공장),[80] 누수/규격검사,53833.0,57396.0,136193.0,39.53,136193.0,1
2026-01-11,C관(2공장),[10] 사출조립,820051.0,890798.0,953240.0,86.03,953240.0,1
